,ID,Fuel Type Code,City,Province,Country,ZIP,Status Code
440,83598,ELEC,Halifax,NS,CA,B3J 1E9,E
446,83608,ELEC,Montreal,QC,CA,H3B 4M4,E
447,83609,ELEC,Stony Plain,AB,CA,T7Z 1V7,E
448,83610,ELEC,Assiniboia,SK,CA,S0H 0B0,E
450,83612,ELEC,Estevan,SK,CA,S4A 0A1,E
451,83613,ELEC,Humboldt,SK,CA,S0K 2A0,E
452,83614,ELEC,Kindersley,SK,CA,S0L 1S0,E
453,83615,ELEC,Moose Jaw,SK,CA,S6J 1L8,E
455,83617,ELEC,North Battleford,SK,CA,S9A 3P7,E
457,83620,ELEC,Saskatoon,SK,CA,S7K 0X8,E
458,83621,ELEC,Kananaskis,AB,CA,T0L 2H0,E
459,83624,ELEC,Banff,AB,CA,T1L 1H8,E
460,83625,ELEC,Lethbridge,AB,CA,T1K 7K7,E
461,83626,ELEC,Windsor,ON,CA,N0R 1K0,E
462,83627,ELEC,Aurora,ON,CA,L4G 6J1,E
463,83628,ELEC,Middleton,NS,CA,B0S 1P0,E
464,83629,ELEC,Millbrook,NS,CA,B6L 0C9,T
467,83633,ELEC,Montreal,QC,CA,H2L 4M1,E
468,83635,ELEC,Mississauga,ON,CA,L5N 5Z1,E
471,83647,ELEC,Roberval,QC,CA,G8H 1Z4,E
472,83649,ELEC,Kingston,ON,CA,K7M 9E3,E
473,83650,ELEC,Ottawa,ON,CA,K1C 2L9,E
474,83652,ELEC,Parrsboro,NS,CA,B0M 1S0,E
478,83660,ELEC,New Glasgow,NS,CA,B2H 5E1,E
481,83665,ELEC,Shelburne,NS,CA,B0T 1W0,E
488,83680,ELEC,Burlington,ON,CA,L7R 2J5,E
491,83688,ELEC,Cambridge,ON,CA,N3H 4R7,E
492,83689,ELEC,Saint-Apollinaire,QC,CA,G0S 2E0,E
493,83690,ELEC,Tatamagouche,NS,CA,B0K 1V0,E
494,83695,ELEC,Toronto,ON,CA,M5B 1C3,E
495,83696,ELEC,Kamloops,BC,CA,V2C 1A4,T
497,83705,ELEC,Smith Falls,ON,CA,K7A 4T1,E
498,83706,ELEC,Etobicoke,ON,CA,M9W 1R7,E
500,83712,ELEC,Whitby,ON,CA,L1N 2K7,E
501,83713,ELEC,Leduc,AB,CA,T9E 7C7,E
502,83714,ELEC,Sherwood Park,AB,CA,T8H 2A2,E
503,83718,ELEC,Calgary,AB,CA,T3R 1R8,E
508,83725,ELEC,Québec City,QC,CA,G1N 2C1,E
509,83726,ELEC,Sept-Iles,QC,CA,G4R 5P3,E
510,83727,ELEC,Sept-Iles,QC,CA,G4R 4L4,E
512,83730,ELEC,Saint-Martin,QC,CA,G0M 1B0,E
513,83732,ELEC,Burnaby,BC,CA,V5G 4S8,E
514,83733,ELEC,Port Coquitlam,BC,CA,V3B 6P2,E
515,83736,ELEC,Halifax,NS,CA,B3J 4A9,E
519,83743,ELEC,Baie-Comeau,QC,CA,G4Z 1L8,E
521,83745,ELEC,Gaspe,QC,CA,G4X 2J6,E
522,83746,ELEC,Riviere-du-Loup,QC,CA,G5R 3Y7,E
525,83749,ELEC,Trois-Pistoles,QC,CA,G0L 4K0,E
528,83753,ELEC,Lac-Megantic,QC,CA,G6B 1H5,E
533,83758,ELEC,Rimouski,QC,CA,G5L 2T2,E
534,83759,ELEC,Rouyn-Noranda,QC,CA,J9X 5Y7,E
535,83760,ELEC,Rouyn-Noranda,QC,CA,J9X 5Y7,E
536,83761,ELEC,Quebec,QC,CA,G1K 4C9,E
537,83762,ELEC,Toronto,ON,CA,M5J 2T3,E
538,83763,ELEC,Rimouski,QC,CA,G5L 8G1,E
