id,city,province_id,province_name,City_Population,Median_Income,Unemployment_Rate,City_Electricity_Rate,City_EV_registrations,City_EV_stations_locations,incentives_status,EV_Per_Province,No_Certificate_perc,Secondary_HS_perc,Apprenticeship_perc,College_CEGEP_perc,Univ_diploma_Below_Bachelor_perc,Univ_diploma_Above_Bachelor_perc
1124470650,Pointe-Claire,QC,Quebec,31380,40800,7.2,7.3,0,6,YES,252020,19.9,21.5,16.9,17.6,3.6,20.5
1124049830,Orillia,ON,Ontario,31166,41200,9.4,13,142,6,NO,144128,17.5,27.4,6,20.8,2.2,26
1124138438,Alma,QC,Quebec,30904,40800,7.2,7.3,320,12,YES,252020,19.9,21.5,16.9,17.6,3.6,20.5
1124566061,Orangeville,ON,Ontario,30734,41200,9.4,13,128,9,NO,144128,17.5,27.4,6,20.8,2.2,26
1124516852,Fort Erie,ON,Ontario,30710,41200,9.4,13,109,5,NO,144128,17.5,27.4,6,20.8,2.2,26
1124000988,LaSalle,ON,Ontario,30180,41200,9.4,13,153,10,NO,144128,17.5,27.4,6,20.8,2.2,26
1124000521,Sainte-Julie,QC,Quebec,30104,40800,7.2,7.3,0,7,YES,252020,19.9,21.5,16.9,17.6,3.6,20.5
1124170853,Leduc,AB,Alberta,29993,44800,10.9,16.6,0,4,YES,0,16.9,27.9,9.7,19.2,3,23.4
1124000052,North Cowichan,BC,British Columbia,29676,40800,7.4,12.6,360,0,YES,148116,15.5,29.4,8.8,18.1,3.6,24.6
1124345124,Chambly,QC,Quebec,29120,40800,7.2,7.3,0,7,YES,252020,19.9,21.5,16.9,17.6,3.6,20.5
1124521470,Okotoks,AB,Alberta,28881,44800,10.9,16.6,0,1,YES,0,16.9,27.9,9.7,19.2,3,23.4
1124406431,Sept-Iles,QC,Quebec,28534,40800,7.2,7.3,0,11,YES,252020,19.9,21.5,16.9,17.6,3.6,20.5
1124000849,Centre Wellington,ON,Ontario,28191,41200,9.4,13,288,0,NO,144128,17.5,27.4,6,20.8,2.2,26
1124000054,Saint-Constant,QC,Quebec,27359,40800,7.2,7.3,0,10,YES,252020,19.9,21.5,16.9,17.6,3.6,20.5
1124989517,Grimsby,ON,Ontario,27314,41200,9.4,13,268,4,NO,144128,17.5,27.4,6,20.8,2.2,26
1124001940,Boisbriand,QC,Quebec,26884,40800,7.2,7.3,0,13,YES,252020,19.9,21.5,16.9,17.6,3.6,20.5
1124000563,Conception Bay South,NL,Newfoundland and Labrador,26199,36800,12.5,13.8,0,0,YES,0,23.4,25,11.3,23.1,2.4,14.8
1124286783,Saint-Bruno-de-Montarville,QC,Quebec,26107,40800,7.2,7.3,0,9,YES,252020,19.9,21.5,16.9,17.6,3.6,20.5
1124190411,Sainte-Thérèse,QC,Quebec,26025,40800,7.2,7.3,0,2,YES,252020,19.9,21.5,16.9,17.6,3.6,20.5
1124032181,Thetford Mines,QC,Quebec,25709,40800,7.2,7.3,212,8,YES,252020,19.9,21.5,16.9,17.6,3.6,20.5
1124324905,Courtenay,BC,British Columbia,25599,40800,7.4,12.6,880,9,YES,148116,15.5,29.4,8.8,18.1,3.6,24.6
1124404849,Magog,QC,Quebec,25358,40800,7.2,7.3,0,14,YES,252020,19.9,21.5,16.9,17.6,3.6,20.5
1124348186,Whitehorse,YT,Yukon,25085,54800,0,18.7,0,7,YES,224,16.3,23.6,10.9,21.2,2.8,25.1
1124000096,Woolwich,ON,Ontario,25006,41200,9.4,13,153,0,NO,144128,17.5,27.4,6,20.8,2.2,26
1124000639,Clarence-Rockland,ON,Ontario,24512,41200,9.4,13,136,0,NO,144128,17.5,27.4,6,20.8,2.2,26
1124769097,Fort Saskatchewan,AB,Alberta,24149,44800,10.9,16.6,0,1,YES,0,16.9,27.9,9.7,19.2,3,23.4
1124001370,East Gwillimbury,ON,Ontario,23991,41200,9.4,13,243,5,NO,144128,17.5,27.4,6,20.8,2.2,26
1124956496,La Prairie,QC,Quebec,23357,40800,7.2,7.3,0,9,YES,252020,19.9,21.5,16.9,17.6,3.6,20.5
1124720869,Tecumseh,ON,Ontario,23229,41200,9.4,13,110,2,NO,144128,17.5,27.4,6,20.8,2.2,26
1124869949,Mount Pearl Park,NL,Newfoundland and Labrador,22957,36800,12.5,13.8,0,0,YES,0,23.4,25,11.3,23.1,2.4,14.8
1124696938,Amherstburg,ON,Ontario,21936,41200,9.4,13,54,0,NO,144128,17.5,27.4,6,20.8,2.2,26
1124174363,Saint-Lambert,QC,Quebec,21861,40800,7.2,7.3,0,6,YES,252020,19.9,21.5,16.9,17.6,3.6,20.5
1124286131,Brockville,ON,Ontario,21854,41200,9.4,13,132,6,NO,144128,17.5,27.4,6,20.8,2.2,26
1124219884,Collingwood,ON,Ontario,21793,41200,9.4,13,220,8,NO,144128,17.5,27.4,6,20.8,2.2,26
1124000741,Scugog,ON,Ontario,21617,41200,9.4,13,110,0,NO,144128,17.5,27.4,6,20.8,2.2,26
1124616034,Kingsville,ON,Ontario,21552,41200,9.4,13,66,1,NO,144128,17.5,27.4,6,20.8,2.2,26
1124859576,Baie-Comeau,QC,Quebec,21536,40800,7.2,7.3,166,9,YES,252020,19.9,21.5,16.9,17.6,3.6,20.5
1124001159,Paradise,NL,Newfoundland and Labrador,21389,36800,12.5,13.8,0,0,YES,0,23.4,25,11.3,23.1,2.4,14.8
1124829638,Uxbridge,ON,Ontario,21176,41200,9.4,13,142,0,NO,144128,17.5,27.4,6,20.8,2.2,26
1124001569,Essa,ON,Ontario,21083,41200,9.4,13,74,0,NO,144128,17.5,27.4,6,20.8,2.2,26
1124457982,Candiac,QC,Quebec,21047,40800,7.2,7.3,0,7,YES,252020,19.9,21.5,16.9,17.6,3.6,20.5
1124001350,Oro-Medonte,ON,Ontario,21036,41200,9.4,13,120,0,NO,144128,17.5,27.4,6,20.8,2.2,26
1124232101,Varennes,QC,Quebec,20994,40800,7.2,7.3,0,10,YES,252020,19.9,21.5,16.9,17.6,3.6,20.5
1124000831,Strathroy-Caradoc,ON,Ontario,20867,41200,9.4,13,56,0,NO,144128,17.5,27.4,6,20.8,2.2,26
1124001919,Wasaga Beach,ON,Ontario,20675,41200,9.4,13,130,4,NO,144128,17.5,27.4,6,20.8,2.2,26
1124760188,New Glasgow,NS,Nova Scotia,20609,38000,7.9,17.1,0,2,YES,0,19.8,25.3,9.9,21.8,2.4,20.8
1124001797,Wilmot,ON,Ontario,20545,41200,9.4,13,218,0,NO,144128,17.5,27.4,6,20.8,2.2,26
1124628052,Essex,ON,Ontario,20427,41200,9.4,13,72,4,NO,144128,17.5,27.4,6,20.8,2.2,26
1124517495,Fort St. John,BC,British Columbia,20155,40800,7.4,12.6,264,1,YES,148116,15.5,29.4,8.8,18.1,3.6,24.6
1124000941,Kirkland,QC,Quebec,20151,40800,7.2,7.3,0,7,YES,252020,19.9,21.5,16.9,17.6,3.6,20.5
1124500862,L’Assomption,QC,Quebec,20065,40800,7.2,7.3,0,0,YES,252020,19.9,21.5,16.9,17.6,3.6,20.5
1124878078,Westmount,QC,Quebec,19931,40800,7.2,7.3,0,6,YES,252020,19.9,21.5,16.9,17.6,3.6,20.5
1124000613,Saint-Lazare,QC,Quebec,19889,40800,7.2,7.3,0,0,YES,252020,19.9,21.5,16.9,17.6,3.6,20.5
1124000371,Chestermere,AB,Alberta,19887,44800,10.9,16.6,0,0,YES,0,16.9,27.9,9.7,19.2,3,23.4
1124961145,Huntsville,ON,Ontario,19816,41200,9.4,13,70,6,NO,144128,17.5,27.4,6,20.8,2.2,26
1124244792,Corner Brook,NL,Newfoundland and Labrador,19806,36800,12.5,13.8,0,1,YES,0,23.4,25,11.3,23.1,2.4,14.8
1124000112,Riverview,NB,New Brunswick,19667,37600,9.6,12.7,0,0,YES,2112,22,28.5,9.1,21.8,1.9,16.7
1124841554,Joliette,QC,Quebec,19621,40800,7.2,7.3,855,16,YES,252020,19.9,21.5,16.9,17.6,3.6,20.5
1124208917,Yellowknife,NT,Northwest Territories,19569,56800,0,38.2,0,1,YES,72,27.4,21.4,9.8,18.9,2.5,20
1124005958,Squamish,BC,British Columbia,19512,40800,7.4,12.6,1036,7,YES,148116,15.5,29.4,8.8,18.1,3.6,24.6
1124001920,Mont-Royal,QC,Quebec,19503,40800,7.2,7.3,0,4,YES,252020,19.9,21.5,16.9,17.6,3.6,20.5
1124662123,Rivière-du-Loup,QC,Quebec,19447,40800,7.2,7.3,357,15,YES,252020,19.9,21.5,16.9,17.6,3.6,20.5
