,City,Province,City_ID,Population 2021,Land Area (sqKM),Median_Income($),Unemployment_rate(%),Vehicles_sold_since_2017,Number_of_stations
330,Bradwell,Saskatchewan,2021A00054711071,164.0,0.42,42400.0,7.0,0.0,0.0
331,Brampton,Ontario,2021A00053521010,656480.0,265.89,41200.0,9.4,2999.0,45.0
376,Brant,Ontario,2021A00033529,144771.0,1094.1,41200.0,9.4,165.0,0.0
377,Brant,Ontario,2021A00053529005,39474.0,817.66,41200.0,9.4,165.0,0.0
378,Brantford,Ontario,2021A00053529006,104688.0,98.65,41200.0,9.4,816.0,13.0
392,Bratt's Lake No. 129,Saskatchewan,2021A00054706013,328.0,844.71,42400.0,7.0,0.0,0.0
393,Bredenbury,Saskatchewan,2021A00054705079,386.0,4.61,42400.0,7.0,0.0,0.0
394,Brenda-Waskada,Manitoba,2021A00054605044,650.0,775.64,39200.0,7.6,0.0,0.0
395,Brethour,Ontario,2021A00053554032,105.0,81.97,41200.0,9.4,0.0,0.0
396,Bridge River 1,British Columbia,2021A00055931813,242.0,39.02,40800.0,7.4,0.0,0.0
397,Briercrest,Saskatchewan,2021A00054706018,155.0,0.69,42400.0,7.0,0.0,0.0
398,Brighton,Ontario,2021A00053514004,12108.0,223.24,41200.0,9.4,37.0,5.0
403,Britannia No. 502,Saskatchewan,2021A00054717028,2061.0,915.11,42400.0,7.0,0.0,0.0
404,Broadview,Saskatchewan,2021A00054705031,541.0,2.82,42400.0,7.0,1.0,0.0
406,Brock,Ontario,2021A00053518039,12567.0,422.64,41200.0,9.4,29.0,0.0
407,Brock No. 64,Saskatchewan,2021A00054701058,252.0,784.64,42400.0,7.0,0.0,0.0
408,Brockton,Ontario,2021A00053541032,9784.0,564.64,41200.0,9.4,29.0,0.0
409,Brockville,Ontario,2021A00053507015,22116.0,20.91,41200.0,9.4,132.0,6.0
415,Broderick,Saskatchewan,2021A00054711028,96.0,0.77,42400.0,7.0,0.0,0.0
416,Brokenhead,Manitoba,2021A00054612054,5414.0,749.69,39200.0,7.6,0.0,0.0
417,Brokenhead 4,Manitoba,2021A00054613062,434.0,54.95,39200.0,7.6,0.0,0.0
418,Brokenshell No. 68,Saskatchewan,2021A00054702051,307.0,845.97,42400.0,7.0,0.0,0.0
419,Brooke-Alvinston,Ontario,2021A00053538015,2359.0,311.41,41200.0,9.4,3.0,0.0
420,Browning No. 34,Saskatchewan,2021A00054701031,355.0,797.0,42400.0,7.0,0.0,0.0
421,Brownlee,Saskatchewan,2021A00054707048,55.0,2.57,42400.0,7.0,0.0,0.0
